Timestamp,date.b,sex,area,migzar,level,num.lev,sum.hour,hascala,toar,mosad,veteq,cuors,techno,internet,tadirut.1,tadirut.2,hitmatz  ,error ,my.comp ,via,relief,Course,comfort,oraa,sipoor,techno,COVID-19,merahok
05/11/2020 11:45,1991,1,4,0,5,1,21,1,2,1,0,2,2,3,3,1,2,0,1,1,1,2,3,3,3,25,3,3
05/11/2020 12:08,1992,1,6,1,"1, 2, 3, 4, 5, 6, 9",8,16,1,1,2,1,2,5,4,3,2,5,1,1,1,3,5,5,3,3,4,4,3
05/11/2020 12:17,1987,1,6,1,"7, 8",3,19,1,2,1,4,1,5,4,1,3,4,0,1,1,3,4,4,4,4,5,5,3
05/11/2020 12:41,1970,1,2,1,"1, 2, 3, 4, 5, 6",6,23,1,3,2,4,1,3,3,2,1,4,0,1,2,5,4,5,5,5,13,4,5
05/11/2020 13:43,1962,1,4,0,"1, 2, 3",1,16,1,3,2,4,2,3,3,3,3,3,1,1,1,3,3,4,4,5,3,4,4
05/11/2020 13:47,1991,0,6,1,10,2,16,1,2,1,1,1,4,4,1,1,4,1,1,2,1,4,4,4,4,8,4,5
05/11/2020 13:47,1984,1,4,1,"1, 3, 4, 6",4,25,1,3,1,4,2,5,5,1,2,5,1,1,1,5,4,4,3,2,25,5,4
05/11/2020 14:10,1972,1,3,0,"3, 4, 5, 6",6,26,1,3,1,4,2,3,4,3,1,4,1,1,2,4,5,5,3,4,10,5,5
05/11/2020 14:33,1968,0,1,1,"7, 8",2,12,1,3,1,4,2,4,4,2,2,4,1,1,2,4,4,4,4,5,4,4,4
05/11/2020 14:44,1995,1,7,1,"1, 2, 3",3,27,1,1,1,1,2,3,2,3,3,1,0,1,2,3,3,3,1,3,0,1,1
05/11/2020 14:48,1983,1,5,1,"4, 5",5,25,1,2,1,4,2,5,5,2,1,5,1,1,1,5,5,5,5,5,10,4,5
05/11/2020 14:52,1981,1,5,1,"1, 3",4,25,1,1,1,4,2,4,4,1,1,5,1,1,1,4,4,4,3,4,8,5,5
05/11/2020 15:19,1968,0,6,0,"1, 2, 3, 4, 5, 6",3,21,1,2,1,0,2,4,4,2,2,4,0,1,1,4,2,4,4,5,6,5,4
05/11/2020 15:42,1985,1,4,1,1,1,22,1,2,1,4,2,5,5,3,1,5,1,1,2,5,5,5,4,5,5,5,2
05/11/2020 15:55,1988,1,4,1,"1, 2",,22,1,2,1,4,2,3,3,3,3,3,1,1,1,1,3,3,1,1,10,5,4
05/11/2020 16:46,1993,0,7,2,"1, 2, 3, 4, 6, 8",8,16,1,1,1,0,2,3,2,1,1,3,1,1,1,1,3,3,1,1,6,3,2
05/11/2020 16:47,1961,1,2,0,"4, 5, 6",3,21,1,3,2,4,2,5,5,1,1,5,1,1,1,5,5,5,1,5,6,2,1
05/11/2020 16:53,1961,1,2,0,"7, 8, 9",6,15,1,3,2,4,2,5,5,2,2,5,1,1,2,2,5,4,3,3,0,3,3
05/11/2020 17:06,1984,0,4,1,10,3,16,1,1,1,4,2,5,5,2,1,5,1,1,1,5,5,5,5,5,25,5,5
05/11/2020 17:27,1970,1,2,0,"4, 5, 6",4,15,1,3,1,4,2,5,5,1,1,5,1,1,1,3,5,4,4,5,10,5,5
05/11/2020 17:35,1992,1,2,0,"3, 5, 6",5,25,1,1,1,4,2,5,5,1,1,5,1,1,2,5,5,5,5,5,30,5,5
05/11/2020 19:09,1987,1,2,1,"5, 6",1,22,1,3,1,4,2,5,5,1,1,4,1,1,1,2,4,4,4,4,25,4,5
05/11/2020 20:00,1958,1,1,1,"7, 8, 9, 10, 11, 12",3,21,1,3,1,4,2,3,3,1,1,5,1,1,2,3,5,5,3,3,14,5,4
05/11/2020 20:25,1965,1,4,0,3,3,21,1,3,2,4,1,5,5,1,1,4,1,1,1,5,5,5,2,5,17,4,4
05/11/2020 21:30,1978,0,6,0,"8, 9",5,23,1,3,2,4,0,4,4,1,1,5,1,1,1,5,4,5,5,4,1,5,5
